song_id;language;field;value
5914892;JA;name;ヴェルディ: 歌劇 「リゴレット」 - あの娘はさらわれてしまった
5914895;JA;name;ヴェルディ: 歌劇 「リゴレット」 - 風の中の羽のように (女心の歌)
5914909;JA;name;ヴェルディ: 歌劇 「ドン・カルロ」 - 彼だ!王子!・・・われらの胸に友情を
5914950;JA;name;プッチーニ: 歌劇 「マノン・レスコー」 - なんと、すばらしい美人
5914974;JA;name;プッチーニ: 歌劇 「ラ・ボエーム」 - おお、うるわしい乙女よ
5915013;JA;name;プッチーニ: 歌劇 「エドガール」 - 第3幕 前奏曲
5915055;JA;name;プッチーニ: 歌劇 「トゥーランドット」 - 誰も寝てはならぬ
5915250;JA;name;サン=サーンス: 交響詩 「死の舞踏」 ト短調 Op.40
5915257;JA;name;サン=サーンス: 組曲 「動物の謝肉祭」 - 白鳥
5915278;JA;name;サン=サーンス: 歌劇 「サムソンとデリラ」 Op.47 - バッカナール
5915317;JA;name;サン=サーンス: 交響曲第3番 ハ短調 Op.78 「オルガン付き」 - IV. Presto
5916553;JA;name;ストラヴィンスキー: バレエ 「プルチネルラ」 - Allegro
5916557;JA;name;ストラヴィンスキー: バレエ 「プルチネルラ」 - Andantino
5916561;JA;name;ストラヴィンスキー: バレエ 「プルチネルラ」 - Allegro
5916565;JA;name;ストラヴィンスキー: バレエ組曲 「火の鳥」 - 王女たちのロンド
5916569;JA;name;ストラヴィンスキー: バレエ組曲 「火の鳥」 - カスチェイ王の魔の踊り
5916573;JA;name;ストラヴィンスキー: バレエ組曲 「火の鳥」 - 子守歌
5916631;JA;name;ストラヴィンスキー: バレエ 「ペトルーシュカ」 - 謝肉祭の日
5916635;JA;name;ストラヴィンスキー: バレエ 「ペトルーシュカ」 - ロシアの踊り
5916643;JA;name;ストラヴィンスキー: バレエ 「ペトルーシュカ」 - ムーア人の部屋
5916648;JA;name;ストラヴィンスキー: バレエ 「春の祭典」 - 第2部 いけにえ
6133155;JA;name;ロッシーニ: 歌劇 「セビリャの理髪師」 第1幕 私は町のなんでも屋
6133161;JA;name;ロッシーニ: 歌劇 「セビリャの理髪師」 第1幕 しかし、あなた・・・
6212300;JA;name;エルガー: 弦楽のためのセレナード ホ短調 Op.20 - II. Larghetto
6213047;JA;name;ガーシュウィン: ピアノ協奏曲 へ調 - II. Andante con moto - Adagio
13091517;JA;name;プロローグ
13100628;EN;name;Exactly Like You
13100628;JA;name;エグザクトリー・ライク・ユー
13440599;JA;name;ヴァイオリン協奏曲 第1番 ト短調 作品26 第1楽章: 前奏曲 (Allegro moderato)
13440986;JA;name;ヴァイオリン協奏曲 ホ短調 作品64 第1楽章: Allegro molto appassionato
13455578;JA;name;連作交響詩《わが祖国》 第6曲: ブラニーク
13456575;JA;name;叙情的場面《エルミニー》 「さあおいで、おいで、恐ろしい武器たちよ!」
13494324;JA;name;ヴァイオリン・ソナタ イ長調 第1楽章: Allegretto moderato
13571792;JA;name;オーヴァチュア
13571795;JA;name;シンク・オブ・ミー
13571805;JA;name;オペラ座の怪人
13571808;JA;name;ザ・ミュージック・オブ・ザ・ナイト
13571811;JA;name;怪人の隠れ家
13571814;JA;name;舞台裏
13571817;JA;name;支配人のオフィス~プリマ・ドンナ
13571820;JA;name;イル・ムート
13571823;JA;name;オペラ座の屋上
13571826;JA;name;オール・アイ・アスク・オブ・ユー
13571829;JA;name;アントラクト
13571832;JA;name;支配人のオフィス
13571835;JA;name;墓場にて
13571838;JA;name;ワンダリング・チャイルド
13571841;JA;name;ザ・ポイント・オブ・ノー・リターン
13571847;JA;name;オール・アイ・アスク・オブ・ユー
13571850;JA;name;リトル・ロッテ~ザ・ミラー(エンジェル・オブ・ミュージック)
13571853;JA;name;マスカレード
13575247;EN;name;Bossa Beguine
13575250;EN;name;Cubano Chant
13575253;EN;name;Blues Etude
13575253;JA;name;ブルース・エチュード
13575256;EN;name;Autumn Leaves
13575259;EN;name;Land of the Misty Giants
13575262;EN;name;City Lights
